treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "ST_RingAmuletBeltNormal"
new subtable "1,1"
StartLevel "1"
EndLevel "3"
object category "Ring",2,1,0,0,0,0,0,0
object category "Belt",1,1,0,0,0,0,0,0
new subtable "1,1"
StartLevel "4"
object category "Ring",2,1,0,0,0,0,0,0
object category "Amulet",1,1,0,0,0,0,0,0
object category "Belt",1,1,0,0,0,0,0,0
new treasuretable "ST_Skillbook_Actual"
new subtable "1,1"
StartLevel "1"
EndLevel "3"
object category "T_ST_SkillbookStarter",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "4"
EndLevel "8"
object category "T_ST_SkillbookStarter",1,0,0,0,0,0,0,0
object category "T_ST_SkillbookEarly",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "9"
EndLevel "15"
object category "T_ST_SkillbookEarly",1,0,0,0,0,0,0,0
object category "T_ST_SkillbookMid",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "16"
object category "T_ST_SkillbookMid",1,0,0,0,0,0,0,0
object category "T_ST_SkillbookLate",1,0,0,0,0,0,0,0
new treasuretable "ST_AMER_UNI"
new subtable "1,1"
object category "I_AMER_UNI_Absence",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Abyss",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Adamant",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_AmaranthineBulwark",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_AngelsEgg",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_AntediluvianCarapace",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_ApothecarysGuile",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Arcturus",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Austerity",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_BlackglassBrand",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Bloodforge",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_BountyHunter",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Carnality",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Cataclysm",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Charity",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Consecration",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Convergence",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_CoruscatingSilks",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Desperation",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Dominion",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Dread",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_DrogsLuck",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Eclipse",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_EmpyreanVestments",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_EtherTide",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Exaltation",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Expedition",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_EyeOfTheStorm",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_FaceOfTheFallen",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Famine",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Fecundity",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_FistOfDecay",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Ghostflame",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_GiantsSkull",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Glacier",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Gluttony",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Godspeed",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Goldforge",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Golem",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_GramSwordOfGrief",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Hibernaculum",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Impetus",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_InfernalContract",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_IronMaiden",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Judgement",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Kudzu",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_LambentBlade",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Leper",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Leviathan",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Lightspire",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Malice",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_MalleusMaleficarum",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Mirage",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Misery",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Momentum",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Mountain",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_NecromancersRaiment",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Nemesis",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Nightmare",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Nihility",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Obelisk",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Occam",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Onslaught",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Ouroboros",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Paragon",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Pariah",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Pestilence",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_PrismaticBarrier",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Prophecy",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Pyre",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Rapture",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_RedOrison",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_RodOfAbeyance",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_RodOfCommand",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_RodOfConviction",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Salamander",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_SanguineHarvest",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Seraph",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Serenity",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Silkclimb",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Smother",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_TheButchersDisciple",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_TheButchersWill",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_TheCannibal",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_TheChthonian",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_TheCrucible",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_TheJaguar",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_TheLocustCrown",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_TheSavage",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_TheVault",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Thirst",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_ThornHalo",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Trample",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Tundra",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Urgency",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Vertigo",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Vortex",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Wendigo",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_WintersGrasp",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Wraith",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Zeal",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Zenith",1,0,0,0,0,0,0,1
object category "I_AMER_UNI_Zodiac",1,0,0,0,0,0,0,1
object category "I_AMER_LOOT_UNI_ArtifactQuestChoiceToken",1,0,0,0,0,0,0,0
new treasuretable "ST_AMER_UNI_Cheat"
new subtable "104,1"
