AMER_UI_Ascension_Force_TheFalcon_Title	<font color='ebc808' size='30'>The Falcon</font>
AMER_UI_Ascension_Force_TheFalcon_Desc_A	"Let the gale guide thought and thought fall like an arrow."<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Click on a node to view its properties.</font>
AMER_UI_Ascension_Force_TheFalcon_Rewards	Requires: 1 <font color='e67f7f' size='20' face='Averia Serif'>Force</font>.<br>Completion grants: 3 <font color='e67f7f' size='20' face='Averia Serif'>Force</font>, 2 <font color='c1a757' size='20' face='Averia Serif'>Life</font>.
AMER_UI_Ascension_Force_TheFalcon_Node_0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>You may choose from:</font><br><font color='ebc808' size='21'>1) </font>+5% Air Resistance.<br><font color='ebc808' size='21'>2) </font>+5% Fire Resistance.<br><font color='ebc808' size='21'>3) </font>+1% Physical Resistance.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_0.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Air Resistance.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_0.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +5% Fire Resistance.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_0.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1% Physical Resistance.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Gain:</font><br><font color='cb9780'>  »</font> +0.2 Movement Speed.<br><br><font color='a8a8a8' size='21' face='Averia Serif'>Additionally, you may choose from:</font><br><font color='ebc808' size='21'>1) </font>+1 Aerotheurge.<br><font color='ebc808' size='21'>2) </font>+1 Huntsman.<br><font color='ebc808' size='21'>3) </font>+1 Pyrokinetic.<br><font color='ebc808' size='21'>4) </font>+1 Scoundrel.<br><font color='ebc808' size='21'>5) </font>+1 Warfare.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_1.0	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Aerotheurge.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_1.1	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Huntsman.</p>
AMER_UI_Ascension_Force_TheFalcon_Node_1.2	<p align='left'><font color='a8a8a8' size='21' face='Averia Serif'>Click on this node again to allocate it, granting:</font><br><font color='cb9780'>»</font> +1 Pyrokinetic.</p>
